City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
187,Avera,US,33.194,-82.5271,66.25,68,48,7.4,scattered clouds
188,Leningradskiy,RU,69.3833,178.4167,20.34,88,98,15.17,overcast clouds
189,Tuatapere,NZ,-46.1333,167.6833,61.48,73,99,8.03,overcast clouds
190,Yulara,AU,-25.2406,130.9889,71.44,49,98,17.27,overcast clouds
191,Kangaba,ML,11.9333,-8.4167,83.64,47,86,6.6,overcast clouds
192,Margate,GB,51.3813,1.3862,45.88,77,29,4.0,scattered clouds
193,Bubaque,GW,11.2833,-15.8333,76.57,69,94,15.14,overcast clouds
194,Hervey Bay,AU,-25.2986,152.8535,80.02,68,32,5.99,scattered clouds
195,Zeya,RU,53.75,127.2667,46.24,23,77,7.16,broken clouds
196,Mezen,RU,65.8522,44.24,25.93,86,84,8.05,broken clouds
197,Kismayo,SO,-0.3582,42.5454,81.93,79,12,9.06,few clouds
198,Sebinkarahisar,TR,40.2883,38.4236,54.43,66,75,2.48,broken clouds
199,Port Hardy,CA,50.6996,-127.4199,50.18,71,100,17.27,overcast clouds
200,Nizhniy Kuranakh,RU,58.8353,125.4869,41.38,44,78,3.29,broken clouds
201,Goderich,CA,43.7501,-81.7165,40.91,70,31,6.91,scattered clouds
202,Maumere,ID,-8.6199,122.2111,85.77,68,90,4.7,overcast clouds
203,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.8,88,2,5.19,clear sky
204,Polunochnoye,RU,60.8697,60.4153,35.69,59,9,8.9,clear sky
205,Ubauro,PK,28.1652,69.7289,100.29,14,0,3.71,clear sky
206,Nagua,DO,19.3832,-69.8474,71.62,74,64,4.5,broken clouds
207,Ozernovskiy,RU,51.5,156.5167,35.96,80,68,3.4,broken clouds
208,Raudeberg,NO,61.9875,5.1352,38.07,69,50,2.44,scattered clouds
209,Lakselv,NO,70.0513,24.9718,30.02,69,20,20.71,few clouds
210,Hofn,IS,64.2539,-15.2082,45.79,66,11,4.61,few clouds
211,Rancho Palos Verdes,US,33.7445,-118.387,64.53,78,0,8.05,clear sky
212,Zhangjiakou,CN,40.81,114.8794,56.46,12,0,18.45,clear sky
213,Kaitangata,NZ,-46.2817,169.8464,58.69,71,95,3.44,overcast clouds
214,Airai,TL,-8.9266,125.4092,77.65,45,79,3.74,broken clouds
215,Saint Anthony,US,45.0205,-93.218,53.96,86,100,18.41,overcast clouds
216,Vengerovo,RU,55.6848,76.7471,63.45,54,23,6.82,few clouds
217,Jilove,CZ,50.7608,14.1038,48.9,79,99,2.93,overcast clouds
218,Nedjo,ET,9.5046,35.5019,62.1,62,12,1.48,few clouds
219,Namibe,AO,-15.1961,12.1522,72.05,77,35,3.96,scattered clouds
220,Rio Grande,BR,-32.035,-52.0986,43.95,70,2,3.09,clear sky
221,Evensk,RU,61.95,159.2333,41.54,60,20,10.04,few clouds
222,Luderitz,NA,-26.6481,15.1594,54.07,73,0,11.39,clear sky
223,Lixourion,GR,38.2019,20.4314,61.99,68,84,2.68,broken clouds
224,Vila Franca Do Campo,PT,37.7167,-25.4333,66.2,95,30,7.76,light rain
225,Hithadhoo,MV,-0.6,73.0833,85.1,72,55,9.26,broken clouds
226,Humberto De Campos,BR,-2.5983,-43.4611,74.53,93,84,3.78,broken clouds
227,Karpathos,GR,35.507,27.2132,64.36,82,95,33.38,overcast clouds
228,Bonavista,CA,48.6499,-53.1147,34.72,99,100,9.57,overcast clouds
229,Hovd,MN,48.0056,91.6419,56.62,16,0,5.55,clear sky
230,San Quintin,MX,30.4833,-115.95,57.87,83,0,6.46,clear sky
231,Morondava,MG,-20.2833,44.2833,74.57,78,0,3.78,clear sky
232,Itaituba,BR,-4.2761,-55.9836,72.93,98,100,2.21,overcast clouds
233,Upington,ZA,-28.4478,21.2561,44.98,87,0,5.75,clear sky
234,Sola,VU,-13.8833,167.55,86.67,74,75,0.0,light rain
235,Gorin,RU,51.1983,136.6669,43.97,51,15,6.76,few clouds
236,Clyde River,CA,70.4692,-68.5914,10.63,72,75,13.8,broken clouds
237,Ventspils,LV,57.3894,21.5606,26.53,93,0,0.0,clear sky
238,Minot,US,48.2325,-101.2963,43.02,81,100,4.61,overcast clouds
239,Nisia Floresta,BR,-6.0911,-35.2086,75.58,85,88,4.81,light rain
240,Aguimes,ES,27.9054,-15.4461,61.43,59,20,17.27,few clouds
241,Sapozhok,RU,53.9419,40.6806,39.96,75,27,8.01,scattered clouds
242,Belmonte,BR,-15.8631,-38.8828,74.53,85,9,4.34,clear sky
243,Somerset East,ZA,-32.7217,25.588,48.47,88,0,1.68,clear sky
244,Sabang,ID,5.8933,95.3214,84.31,73,100,12.26,overcast clouds
245,Caucaia,BR,-3.7361,-38.6531,75.15,86,75,10.36,broken clouds
246,Teguldet,RU,57.3064,88.1667,66.54,50,99,8.79,overcast clouds
247,Oum Hadjer,TD,13.2954,19.6966,87.19,23,97,7.96,overcast clouds
248,Price,US,39.5994,-110.8107,47.12,29,0,12.66,clear sky
249,Mufulira,ZM,-12.5498,28.2407,60.1,81,100,3.27,overcast clouds
250,Kalmunai,LK,7.4167,81.8167,86.58,68,67,5.26,broken clouds
251,Mora,CM,11.0461,14.1401,85.66,42,87,3.62,overcast clouds
252,Constitucion,CL,-35.3333,-72.4167,51.75,62,18,6.44,few clouds
253,Plainview,US,40.7765,-73.4673,53.51,32,0,8.05,clear sky
254,Francisco Sa,BR,-16.4758,-43.4883,62.74,77,0,7.2,clear sky
255,Port Lincoln,AU,-34.7333,135.8667,64.2,57,42,13.89,scattered clouds
256,Juneau,US,58.3019,-134.4197,50.0,91,20,6.91,few clouds
257,Newport,GB,51.5877,-2.9984,41.52,84,55,5.79,broken clouds
258,Hearst,CA,49.6835,-83.6665,32.25,92,100,5.06,overcast clouds
259,Oktyabrskiy,RU,54.4815,53.471,40.84,50,6,7.27,clear sky
260,Dimapur,IN,25.9,93.7333,73.38,88,75,3.44,mist
261,Ruwi,OM,23.5996,58.5507,89.29,37,22,4.97,few clouds
262,Vuktyl,RU,63.8567,57.3094,29.14,90,100,2.28,light snow
263,San Luis,AR,-33.295,-66.3356,48.29,50,5,6.96,clear sky
264,Koltubanovskiy,RU,52.9407,52.0269,43.36,50,100,7.36,overcast clouds
265,Mareeba,AU,-17.0,145.4333,71.47,62,95,7.78,overcast clouds
266,Sehithwa,BW,-20.4667,22.7167,61.74,47,12,4.65,few clouds
267,Alice Springs,AU,-23.7,133.8833,71.15,60,17,16.11,few clouds
268,Mto Wa Mbu,TZ,-3.35,35.85,67.24,94,86,3.87,overcast clouds
269,Saskylakh,RU,71.9167,114.0833,32.59,94,100,14.7,overcast clouds
270,Seoul,KR,37.5683,126.9778,63.97,52,40,11.5,scattered clouds
271,Agadez,NE,19.75,10.25,83.84,7,100,6.69,overcast clouds
272,Joshimath,IN,30.5667,79.5667,74.8,35,33,6.02,scattered clouds
273,Lensk,RU,60.7253,114.9278,37.31,98,100,5.7,overcast clouds
274,Lompoc,US,34.6391,-120.4579,61.93,75,0,23.0,clear sky
275,Mahebourg,MU,-20.4081,57.7,77.25,83,75,2.3,broken clouds
276,Moussoro,TD,13.6408,16.4901,86.18,35,72,5.84,broken clouds
277,Narsaq,GL,60.9167,-46.05,41.22,80,100,2.21,overcast clouds
278,Fayaoue,NC,-20.65,166.5333,77.07,71,100,22.93,overcast clouds
279,Souillac,MU,-20.5167,57.5167,73.78,83,75,2.3,broken clouds
280,Maniitsoq,GL,65.4167,-52.9,9.61,76,45,10.07,scattered clouds
281,Badarwas,IN,24.9667,77.5667,96.75,19,4,13.65,clear sky
282,Zhicheng,CN,30.2956,111.5047,60.82,82,100,2.91,moderate rain
283,Esperance,AU,-33.8667,121.9,67.84,61,23,7.99,few clouds
284,Touros,BR,-5.1989,-35.4608,75.16,83,97,9.22,overcast clouds
285,Rio Gallegos,AR,-51.6226,-69.2181,33.85,86,0,6.91,clear sky
286,Pimentel,PE,-6.8367,-79.9342,66.0,86,100,12.41,overcast clouds
287,Tolbazy,RU,54.0241,55.8825,40.33,55,100,9.8,overcast clouds
288,Asfi,MA,32.2994,-9.2372,61.61,71,100,5.59,overcast clouds
289,Mitu,CO,1.1983,-70.1733,71.38,99,94,4.03,moderate rain
290,Catuday,PH,16.2923,119.8062,87.04,60,100,3.11,overcast clouds
291,Matara,LK,5.9485,80.5353,87.44,67,87,10.25,overcast clouds
292,Tiksi,RU,71.6872,128.8694,34.21,71,100,16.53,overcast clouds
293,Priladozhskiy,RU,59.85,31.4833,32.54,1,67,6.69,broken clouds
294,Sawtell,AU,-30.3833,153.1,78.82,57,87,11.5,overcast clouds
295,Rincon,US,32.296,-81.2354,70.86,68,20,4.61,few clouds
296,Upernavik,GL,72.7868,-56.1549,12.76,88,100,23.02,overcast clouds
297,Limbe,CM,4.0242,9.2149,77.02,86,100,4.81,overcast clouds
298,Urcos,PE,-13.6861,-71.6228,49.89,92,94,4.74,overcast clouds
299,Beira,MZ,-19.8436,34.8389,66.29,93,20,3.44,few clouds
300,Orel,RU,52.9658,36.0803,39.81,80,93,7.81,overcast clouds
301,Verkhnevilyuysk,RU,63.4453,120.3167,45.63,69,41,12.19,scattered clouds
302,Hun,LY,29.1268,15.9477,62.64,46,4,6.67,clear sky
303,Salta,AR,-24.7859,-65.4117,55.99,83,75,4.61,broken clouds
304,San Policarpo,PH,12.1791,125.5072,84.31,72,100,7.07,overcast clouds
305,Lata,PT,40.1629,-8.3327,55.08,73,0,2.01,clear sky
306,Harper,LR,4.375,-7.7169,79.93,83,53,7.4,light rain
307,Nanga Eboko,CM,4.6833,12.3667,66.9,99,100,1.72,overcast clouds
308,Boca Do Acre,BR,-8.7522,-67.3978,73.83,84,98,1.72,overcast clouds
309,Alpoyeca,MX,17.6667,-98.5167,74.5,58,23,4.9,few clouds
310,Praia,CV,14.9215,-23.5087,68.54,73,20,14.97,few clouds
311,Huarmey,PE,-10.0681,-78.1522,67.33,87,89,5.53,overcast clouds
312,Chara,RU,56.9064,118.2631,38.52,45,58,5.66,broken clouds
313,Pecos,US,31.4229,-103.4932,77.86,7,0,9.22,clear sky
314,Vaxjo,SE,56.8777,14.8091,36.57,100,56,3.44,mist
315,Zhigansk,RU,66.7697,123.3711,33.39,93,35,24.47,scattered clouds
316,Kaita,JP,34.3667,132.55,62.15,50,45,5.82,scattered clouds
317,Jacareacanga,BR,-6.2222,-57.7528,74.62,82,100,2.15,overcast clouds
318,Whitehorse,CA,60.7161,-135.0538,40.01,72,75,4.61,broken clouds
319,Pingxiang,CN,27.6167,113.85,59.07,95,100,2.68,moderate rain
320,Mecca,SA,21.4267,39.8261,86.09,35,0,2.17,clear sky
321,Vila Velha,BR,-20.3297,-40.2925,71.94,93,0,1.14,clear sky
322,Chunoyar,RU,57.4467,97.3217,61.79,74,100,8.81,overcast clouds
323,Linaon,PH,9.9499,122.4483,83.84,73,42,7.34,scattered clouds
324,Rawson,AR,-43.3002,-65.1023,48.13,49,42,8.77,scattered clouds
325,Gamba,GA,-2.65,10.0,76.26,93,100,8.81,light rain
326,Neepawa,CA,50.2289,-99.4664,43.2,95,100,13.0,overcast clouds
327,Mahajanga,MG,-15.7167,46.3167,69.82,94,20,4.61,few clouds
328,Talnakh,RU,69.4865,88.3972,16.21,86,81,8.52,broken clouds
329,Pisco,PE,-13.7,-76.2167,66.25,77,0,8.05,clear sky
330,Kyshtovka,RU,56.555,76.6271,55.54,69,89,10.02,overcast clouds
331,Kenora,CA,49.8167,-94.4337,40.17,93,100,10.36,moderate rain
332,Preobrazheniye,RU,42.9019,133.9064,48.56,62,100,11.7,overcast clouds
333,Totness,SR,5.8833,-56.3167,77.13,89,82,9.53,broken clouds
334,College,US,64.8569,-147.8028,58.95,32,20,0.0,few clouds
335,Umm Lajj,SA,25.0213,37.2685,84.69,29,0,9.15,clear sky
336,Port Macquarie,AU,-31.4333,152.9167,76.89,84,95,7.92,overcast clouds
337,San Andres Del Rabanedo,ES,42.6117,-5.6167,53.78,83,0,2.3,clear sky
338,Calvinia,ZA,-31.4707,19.776,37.22,100,75,5.75,fog
339,Doha,QA,25.2867,51.5333,78.78,69,0,6.91,clear sky
340,Hasaki,JP,35.7333,140.8333,61.29,56,34,17.34,scattered clouds
341,Cozumel,MX,20.5083,-86.9458,78.94,77,4,8.01,clear sky
342,Ciudad Bolivar,VE,8.1222,-63.5497,82.49,67,51,11.16,broken clouds
343,Phayakkhaphum Phisai,TH,15.5163,103.1937,84.72,66,100,1.92,overcast clouds
344,Kharp,RU,66.8014,65.8081,22.64,94,74,5.23,snow
345,Rocha,UY,-34.4833,-54.3333,44.46,83,0,3.33,clear sky
346,Itarema,BR,-2.9248,-39.9167,77.83,85,100,7.47,overcast clouds
347,Kavieng,PG,-2.5744,150.7967,84.15,70,89,3.8,light rain
